Match_No,Match,Team,Batsman,Out,Runs,Balls,4s,6s,Strike_Rate
1,GT vs CSK,CSK,Conway,Yes,1,6,0,0,16.67
1,GT vs CSK,CSK,Ruturaj Gaikwad,Yes,92,50,4,9,184
1,GT vs CSK,CSK,Moeen,Yes,23,17,4,1,135.29
1,GT vs CSK,CSK,Stokes,Yes,7,6,1,0,116.67
1,GT vs CSK,CSK,Rayudu,Yes,12,12,0,1,100
1,GT vs CSK,CSK,Shivam Dube,Yes,19,18,0,1,105.56
1,GT vs CSK,CSK,Ravindra Jadeja,Yes,1,2,0,0,50
1,GT vs CSK,CSK,Dhoni (c & wk),No,14,7,1,1,200
1,GT vs CSK,CSK,Santner,No,1,3,0,0,33.33
1,GT vs CSK,GT,Wriddhiman Saha (wk),Yes,25,16,2,2,156.25
1,GT vs CSK,GT,Shubman Gill,Yes,63,36,6,3,175
1,GT vs CSK,GT,Sai Sudharsan,Yes,22,17,3,0,129.41
1,GT vs CSK,GT,Hardik Pandya (c),Yes,8,11,0,0,72.73
1,GT vs CSK,GT,Vijay Shankar,Yes,27,21,2,1,128.57
1,GT vs CSK,GT,Rahul Tewatia,No,15,14,1,1,107.14
1,GT vs CSK,GT,Rashid Khan,No,10,3,1,1,333.33
2,PK vs KKR,PK,Prabhsimran,Yes,23,12,2,2,191.67
2,PK vs KKR,PK,Dhawan (c),Yes,40,29,6,0,137.93
2,PK vs KKR,PK,B Rajapaksa,Yes,50,32,5,2,156.25
2,PK vs KKR,PK,Jitesh Sharma (wk),Yes,21,11,1,2,190.91
2,PK vs KKR,PK,Raza,Yes,16,13,1,1,123.08
2,PK vs KKR,PK,Sam Curran,No,26,17,0,2,152.94
2,PK vs KKR,PK,Shahrukh Khan,No,11,7,2,0,157.14
2,PK vs KKR,KKR,Mandeep Singh,Yes,2,4,0,0,50
2,PK vs KKR,KKR,Rahmanullah Gurbaz (wk),Yes,22,16,3,1,137.5
2,PK vs KKR,KKR,Anukul Roy,Yes,4,5,1,0,80
2,PK vs KKR,KKR,Venkatesh Iyer,Yes,34,28,3,1,121.43
2,PK vs KKR,KKR,Nitish Rana (c),Yes,24,17,3,1,141.18
2,PK vs KKR,KKR,Rinku Singh,Yes,4,4,0,0,100
2,PK vs KKR,KKR,Andre Russell,Yes,35,19,3,2,184.21
2,PK vs KKR,KKR,Shardul Thakur,No,8,3,0,1,266.67
2,PK vs KKR,KKR,Sunil Narine,No,7,2,0,1,350
3,LSG VS DC,LSG,Rahul (c),Yes,8,12,0,1,66.67
3,LSG VS DC,LSG,K Mayers,Yes,73,38,2,7,192.11
3,LSG VS DC,LSG,Deepak Hooda,Yes,17,18,0,0,94.44
3,LSG VS DC,LSG,Krunal Pandya,No,15,13,0,1,115.38
3,LSG VS DC,LSG,Stoinis,Yes,12,10,0,1,120
3,LSG VS DC,LSG,Pooran (wk),Yes,36,21,2,3,171.43
3,LSG VS DC,LSG,Ayush Badoni,Yes,18,7,1,2,257.14
3,LSG VS DC,LSG,K Gowtham,No,6,1,0,1,600
3,LSG VS DC,DC,Prithvi Shaw,Yes,12,9,2,0,133.33
3,LSG VS DC,DC,David Warner (c),Yes,56,48,7,0,116.67
3,LSG VS DC,DC,Mitchell Marsh,Yes,0,1,0,0,0
3,LSG VS DC,DC,Sarfaraz Khan (wk),Yes,4,9,1,0,44.44
3,LSG VS DC,DC,Rilee Rossouw,Yes,30,20,3,1,150
3,LSG VS DC,DC,Rovman Powell,Yes,1,3,0,0,33.33
3,LSG VS DC,DC,Aman Hakim Khan,Yes,4,5,0,0,80
3,LSG VS DC,DC,Axar Patel,Yes,16,11,1,1,145.45
