Match_No,Match,Team,Bowler,Over,Balls,Deliveries,Maiden,Run,Wicket,ECON,0s,4s,6s,WD,NB
1,CSK vs GT,GT,Shami,4,0,24,0,29,2,7.25,13,2,2,0,1
1,CSK vs GT,GT,Hardik Pandya (c),3,0,18,0,28,0,9.33,6,2,2,0,0
1,CSK vs GT,GT,Joshua Little,4,0,24,0,41,1,10.25,10,4,3,0,0
1,CSK vs GT,GT,Rashid Khan,4,0,24,0,26,2,6.50,10,2,1,0,0
1,CSK vs GT,GT,Alzarri Joseph,4,0,24,0,33,2,8.25,8,0,3,0,0
1,CSK vs GT,GT,Yash Dayal,1,0,6,0,14,0,14.00,2,0,2,0,0
1,CSK vs GT,CSK,Deepak Chahar,4,0,24,0,29,0,7.25,9,1,2,0,0
1,CSK vs GT,CSK,Tushar Deshpande,3,2,20,0,51,1,15.30,5,4,4,1,1
1,CSK vs GT,CSK,Rajvardhan Hangargekar,4,0,24,0,36,3,9.00,10,4,1,3,1
1,CSK vs GT,CSK,Mitchell Santner,4,0,24,0,32,0,8.00,7,5,0,0,0
1,CSK vs GT,CSK,Ravindra Jadeja,4,0,24,0,28,1,7.00,9,1,1,0,0
2,PK vs KKR,KKR,Umesh,4,0,24,0,27,1,6.75,11,2,1,0,0
2,PK vs KKR,KKR,Southee,4,0,24,0,54,2,13.50,7,6,3,0,0
2,PK vs KKR,KKR,Narine,4,0,24,0,40,1,10.00,8,3,2,1,0
2,PK vs KKR,KKR,Chakaravarthy,4,0,24,0,26,1,6.50,10,2,1,1,0
2,PK vs KKR,KKR,Thakur,4,0,24,0,43,0,10.75,7,4,2,0,1
2,PK vs KKR,PK,Sam Curran,3,0,18,0,38,1,12.66,4,3,3,0,0
2,PK vs KKR,PK,Arshdeep Singh,3,0,18,0,19,3,6.33,10,2,1,0,0
2,PK vs KKR,PK,Nathan Ellis,3,0,18,0,27,1,9.00,8,2,1,0,2
2,PK vs KKR,PK,Sikandar Raza,3,0,18,0,25,1,8.33,5,3,0,1,0
2,PK vs KKR,PK,Rishi Dhawan,1,0,6,0,15,0,15.00,2,2,1,0,0
2,PK vs KKR,PK,Rahul Chahar,2,0,12,0,12,1,6.00,5,0,1,0,0
2,PK vs KKR,PK,Harpreet Brar,1,0,6,0,7,0,7.00,3,1,0,0,0
3,LSG vs DC,DC,Khaleel Ahmed,4,0,24,0,30,2,7.50,15,3,2,1,0
3,LSG vs DC,DC,Mukesh Kumar,4,0,24,0,34,0,8.50,5,0,2,1,0
3,LSG vs DC,DC,Chetan Sakariya,4,0,24,0,53,2,13.25,8,1,6,3,0
3,LSG vs DC,DC,Axar,4,0,24,0,38,1,9.50,8,1,3,0,0
3,LSG vs DC,DC,Kuldeep Yadav,4,0,24,0,35,1,8.75,7,0,3,0,0
3,LSG vs DC,LSG,Kyle Mayers,1,0,6,0,7,0,7.00,3,1,0,1,0
3,LSG vs DC,LSG,Jaydev Unadkat,3,0,18,0,39,0,13.00,3,5,0,2,0
3,LSG vs DC,LSG,Krishnappa Gowtham,4,0,24,0,23,0,5.75,9,2,0,1,0
3,LSG vs DC,LSG,Avesh Khan,4,0,24,0,29,2,7.25,12,3,1,0,0
3,LSG vs DC,LSG,Mark Wood,4,0,24,0,14,5,3.50,17,1,0,1,1
3,LSG vs DC,LSG,Ravi Bishnoi,4,0,24,0,31,2,7.75,8,3,1,0,0
4,RR vs SRH,SRH,Bhuvneshwar (c),3,0,18,0,36,0,12.00,6,4,2,1,0
4,RR vs SRH,SRH,Fazalhaq Farooqi,4,0,24,0,41,2,10.25,11,7,0,0,0
4,RR vs SRH,SRH,Washington Sundar,3,0,18,0,32,0,10.66,5,1,3,0,0
4,RR vs SRH,SRH,T Natarajan,3,0,18,0,23,2,7.66,7,4,0,0,0
4,RR vs SRH,SRH,Adil Rashid,4,0,24,0,33,0,8.25,6,1,2,0,0
4,RR vs SRH,SRH,Umran Malik,3,0,18,0,32,1,10.66,4,4,1,1,0
4,RR vs SRH,RR,Trent Boult,4,0,24,1,21,2,5.25,15,2,1,0,0
4,RR vs SRH,RR,KM Asif,3,0,18,0,15,0,5.00,9,1,0,1,0
4,RR vs SRH,RR,Jason Holder,3,0,18,0,16,1,5.33,10,1,1,0,0
4,RR vs SRH,RR,Ravichandran Ashwin,4,0,24,0,27,1,6.75,10,1,1,2,0
4,RR vs SRH,RR,Yuzvendra Chahal,4,0,24,0,17,4,4.25,11,0,0,0,0
4,RR vs SRH,RR,Navdeep Saini,2,0,12,0,34,0,17.00,3,3,2,0,3
5,MI vs RCB,RCB,Siraj,4,0,24,0,21,1,5.25,16,2,0,6,0
